Region,0
Africa and Red Sea,33
Alaska,47
Antarctica,12
Atlantic Ocean,20
Canada and Western USA,28
Hawaii and Pacific Ocean,20
Iceland and Arctic Ocean,22
Indonesia,79
"Japan, Taiwan, Marianas",93
Kamchatka and Mainland Asia,40
Kuril Islands,30
Mediterranean and Western Asia,17
Melanesia and Australia,38
Middle East and Indian Ocean,17
México and Central America,40
New Zealand to Fiji,34
Philippines and SE Asia,24
South America,90
West Indies,12
