DRT,0
Andesite / Basaltic Andesite,329
Basalt / Picro-Basalt,201
Dacite,46
Foidite,3
Phono-tephrite /  Tephri-phonolite,1
Phonolite,4
Rhyolite,27
Trachyandesite / Basaltic Trachyandesite,14
Trachybasalt / Tephrite Basanite,29
Trachyte / Trachydacite,21
