,Month,State,Total
288,3,Georgia,4
289,3,Nevada,7
290,3,Maryl,4
291,2,California,5
292,2,California,4
293,2,Louisiana,4
294,2,South Carolina,4
295,2,Louisiana,10
296,2,New Mexico,4
297,2,Nevada,14
298,2,Louisiana,4
299,2,Texas,4
300,2,Texas,4
301,2,Georgia,4
302,2,Georgia,4
303,2,Minnesota,4
304,2,Oregon,4
305,2,Mississippi,5
306,2,Nebraska,4
307,2,North Carolina,4
308,2,Alabama,4
309,2,Oregon,6
310,2,California,7
311,2,Missouri,16
312,2,Pennsylvania,4
313,2,Texas,5
314,2,Florida,4
315,2,Illinois,4
316,2,Wisconsin,6
317,2,California,4
318,2,Arkansas,4
319,2,Tennessee,5
320,2,Missouri,4
321,2,Arizona,11
322,2,Illinois,5
323,2,North Carolina,4
324,2,California,4
325,2,Florida,4
326,2,New Mexico,4
327,2,Texas,8
328,2,Virginia,5
329,2,California,5
330,2,Wisconsin,5
331,1,North Carolina,4
332,1,Florida,5
333,1,Georgia,4
334,1,California,4
335,1,Georgia,4
336,1,Missouri,4
337,1,Tennessee,4
338,1,California,5
339,1,Washington D.C.,5
340,1,Wisconsin,6
341,1,California,5
342,1,Washington,4
343,1,Louisiana,4
344,1,Maryl,4
345,1,United States Virgin Isls,5
346,1,Florida,5
347,1,Texas,4
348,1,Georgia,4
349,1,Georgia,6
350,1,Tennessee,4
351,1,Oregon,6
352,1,Georgia,4
353,1,New York,4
354,1,Illinois,4
355,1,Alabama,7
356,1,California,4
357,1,Colorado,4
358,1,California,6
359,1,Texas,4
360,1,Mississippi,4
361,1,Texas,4
362,1,Texas,4
363,1,Missouri,4
364,1,Illinois,5
365,1,Pennsylvania,5
366,1,South Carolina,5
367,1,Georgia,4
368,1,Wisconsin,4
369,1,Indiana,4
370,1,Colorado,4
371,12,Maryl,4
372,12,California,6
373,12,Mississippi,7
374,12,Pennsylvania,6
375,12,Missouri,4
376,12,Alabama,4
377,12,Ohio,4
378,12,Colorado,8
379,12,Texas,4
380,12,New York,4
381,12,Virginia,5
382,12,Mississippi,7
383,12,Pennsylvania,4
384,12,Louisiana,4
385,12,New York,4
386,12,Georgia,4
387,12,Pennsylvania,6
388,12,Illinois,4
389,12,Maryl,5
390,12,Virginia,4
391,12,Maryl,4
392,12,Alabama,4
393,12,California,4
394,12,Pennsylvania,4
395,12,North Carolina,6
396,12,Texas,15
397,12,Virginia,4
398,12,Mississippi,6
399,12,Florida,5
400,12,Illinois,4
401,12,Michigan,4
402,12,Florida,5
403,12,North Carolina,5
404,12,Wisconsin,6
405,12,Pennsylvania,4
406,12,Texas,4
407,12,Michigan,4
408,12,Tennessee,4
409,12,North Carolina,6
410,11,Georgia,6
411,11,Michigan,11
412,11,Pennsylvania,4
413,11,California,5
414,11,Colorado,5
415,11,Maryl,7
416,11,Illinois,5
417,11,New Jersey,4
418,11,Tennessee,7
419,11,Texas,4
420,11,South Carolina,4
421,11,Florida,4
422,11,Texas,4
423,11,North Carolina,4
424,11,Louisiana,5
425,11,New Jersey,5
426,11,Illinois,4
427,11,California,4
428,11,Maryl,4
429,11,Illinois,4
430,11,Illinois,4
431,11,New York,4
432,11,New York,4
433,11,Colorado,6
434,11,New York,4
435,11,Oregon,4
436,11,Arizona,5
437,11,Alabama,6
438,11,Missouri,6
439,11,Pennsylvania,6
440,11,Louisiana,4
441,11,North Carolina,4
442,11,Virginia,4
443,11,Alabama,4
444,11,New York,4
445,11,South Dakota,5
446,11,Louisiana,5
447,11,Pennsylvania,4
448,11,Wisconsin,4
449,11,California,4
450,11,Texas,6
451,11,California,4
452,11,California,4
453,11,Virginia,5
454,11,Iowa,4
455,11,Alabama,4
456,11,Florida,4
457,11,Texas,4
458,10,Kentucky,4
459,10,Illinois,4
460,10,Colorado,4
461,10,Texas,10
462,10,Illinois,14
463,10,Texas,4
464,10,California,7
465,10,Illinois,4
466,10,Texas,10
467,10,Oklahoma,4
468,10,Florida,5
469,10,California,4
470,10,Michigan,4
471,10,New York,5
472,10,Nevada,4
473,10,Tennessee,4
474,10,Idaho,7
475,10,Tennessee,4
476,10,California,4
477,10,Mississippi,5
478,10,Georgia,8
479,10,South Carolina,6
480,10,California,5
481,10,Washington,4
482,10,Maryl,7
483,10,Illinois,5
484,10,New York,4
485,10,Washington,4
486,10,Michigan,4
487,10,Wisconsin,5
488,10,Louisiana,8
489,10,Texas,5
490,10,Mississippi,6
491,10,Arkansas,8
492,10,Wisconsin,6
493,10,Colorado,5
494,10,Arkansas,4
495,10,Missouri,4
496,10,Texas,4
497,10,Alabama,5
498,10,Minnesota,5
499,10,Mississippi,4
500,10,Florida,6
501,10,Georgia,6
502,10,Delaware,5
503,10,Illinois,5
504,10,Iowa,4
505,10,South Carolina,5
506,10,Minnesota,15
507,10,Texas,4
508,10,Colorado,4
509,10,Louisiana,6
510,10,New York,7
511,10,Maryl,4
512,10,Washington D.C.,4
513,10,Illinois,4
514,10,Wisconsin,5
515,10,Wisconsin,4
516,10,Ohio,4
517,10,Maryl,6
518,10,Louisiana,4
519,10,Illinois,4
520,10,Minnesota,4
521,10,Minnesota,4
522,10,South Carolina,5
523,10,Colorado,4
524,10,Texas,4
